site,country,title,price_jpy,review_count,seller_badge,search_position,monthly_sold_count,is_bestseller,bestseller_rank,validity,usage_validity,activation_validity,network_type,network_generation,network_generation_inferred,network_generation_confidence,carrier_support_local,carrier_support_kr,data_amount,product_url,asin,site_product_id,seller,brand,evidence
qoo10_jp,th,【タイ eSIM】 正規eSIM 超高速3-7日間 データ通信専用 即発行即利用可能 タイeSIM 3-7日間 QRコードで 3日間 タイ esim 4日間 タイ esim 5日間 タイ esim,900,120,Power seller,1,,,,7일,7일,3일,local,unknown,,,"{""ais"": null, ""dtac"": null, ""truemove"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%bf%e3%82%a4-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f3-7%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%e5%b0%82%e7%94%a8-%e5%8d%b3%e7%99%ba%e8%a1%8c%e5%8d%b3%e5%88%a9%e7%94%a8%e5%8f%af%e8%83%bd-%e3%82%bf%e3%82%a4ESIM-3-7%e6%97%a5%e9%96%93-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7/1167819323,,1167819323,正規eSIM 超高速 安心保証⚡,,"{""title"": [""【タイ eSIM】 正規eSIM 超高速3-7日間 データ通信専用 即発行即利用可能 タイeSIM 3-7日間 QRコードで 3日間 タイ esim 4日間 タイ esim 5日間 タイ esim""], ""option_candidates"": [""タイ 3日 （超高速無限データ）"", ""タイ 4日（超高速無限データ）"", ""タイ 5日（超高速無限データ）""], ""representative_option"": [""タイ 7日（超高速無限データ）"", ""title_match_score=6""], ""price_jpy"": [""販売価格 900円 + option surcharge 0"", ""タイ 7日（超高速無限データ）""], ""usage_validity"": [""タイ 7日（超高速無限データ）""], ""activation_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""data_amount"": [""タイ 7日（超高速無限データ）""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""正規eSIM 超高速 安心保証⚡""], ""review_count"": [""search_result: 120""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,th,【eSIM 共通して用：シンガポール / マレーシア / インドネシア / タイ】eSIM 正規eSIM 超高速3-7日間 データ無制限 無制限 QRコードで 3日間 4日間 5日間 7日間 eSIM,1100,33,Power seller,3,,,,3일,3일,3일,local,unknown,,,"{""ais"": null, ""dtac"": null, ""truemove"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/ESIM-%e5%85%b1%e9%80%9a%e3%81%97%e3%81%a6%e7%94%a8%ef%bc%9a%e3%82%b7%e3%83%b3%e3%82%ac%e3%83%9d%e3%83%bc%e3%83%ab-%e3%83%9e%e3%83%ac%e3%83%bc%e3%82%b7%e3%82%a2-%e3%82%a4%e3%83%b3%e3%83%89%e3%83%8d%e3%82%b7%e3%82%a2-%e3%82%bf%e3%82%a4-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f3-7%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90/1168274800,,1168274800,正規eSIM 即時対応 60万枚突破 �...,,"{""title"": [""【eSIM 共通して用：シンガポール / マレーシア / インドネシア / タイ】eSIM 正規eSIM 超高速3-7日間 データ無制限 無制限 QRコードで 3日間 4日間 5日間 7日間 eSIM""], ""price_jpy"": [""販売価格 1,100円""], ""usage_validity"": [""【eSIM 共通して用：シンガポール / マレーシア / インドネシア / タイ】eSIM 正規eSIM 超高速3-7日間 データ無制限 無制限 QRコードで 3日間 4日間 5日間 7日間 eSIM""], ""activation_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""data_amount"": [""【eSIM 共通して用：シンガポール / マレーシア / インドネシア / タイ】eSIM 正規eSIM 超高速3-7日間 データ無制限 無制限 QRコードで 3日間 4日間 5日間 7日間 eSIM""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""正規eSIM 即時対応 60万枚突破 �...""], ""review_count"": [""search_result: 33""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,th,【東南アジア 5ヵ国】 eSIM 7日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効,2240,8,Power seller,7,,,,3일,3일,7일,local,5g_capable,,,"{""ais"": null, ""dtac"": null, ""truemove"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e6%9d%b1%e5%8d%97%e3%82%a2%e3%82%b8%e3%82%a2-5%e3%83%b5%e5%9b%bd-ESIM-7%e6%97%a5%e9%96%93%ef%bc%8f%e5%ae%8c%e5%85%a8%e7%84%a1%e5%88%b6%e9%99%90%ef%bc%88%e4%bd%8e%e9%80%9f%e5%8c%96%e7%84%a1%e3%81%97%ef%bc%89%ef%bc%8f%e3%82%bf%e3%82%a4%e3%83%bb%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0%e3%83%bb%e3%82%b7%e3%83%b3%e3%82%ac%e3%83%9d%e3%83%bc%e3%83%ab%e3%83%bb%e3%82%a4%e3%83%b3%e3%83%89%e3%83%8d%e3%82%b7%e3%82%a2%e3%83%bb%e3%83%9e%e3%83%ac%e3%83%bc%e3%82%b7%e3%82%a2%ef%bc%8f5G%e3%83%bb4G%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf/1126839497,,1126839497,スマートeSIM,,"{""title"": [""【東南アジア 5ヵ国】 eSIM 7日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""price_jpy"": [""販売価格 2,240円""], ""usage_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""activation_validity"": [""【東南アジア 5ヵ国】 eSIM 7日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""data_amount"": [""【東南アジア 5ヵ国】 eSIM 7日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""title_5g: source:title: 【東南アジア 5ヵ国】 eSIM 7日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""seller"": [""スマートeSIM""], ""review_count"": [""search_result: 8""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,th,【タイ eSIM データ無制限】タイ eSIM 正規eSIM 超高速 5日間 データ無制限 eSIM 5日間 無制限 QRコードで タイ esim 5日間 esim タイ,1120,,Power seller,8,,,,5일,5일,5일,local,unknown,,,"{""ais"": null, ""dtac"": null, ""truemove"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%bf%e3%82%a4-ESIM-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e3%82%bf%e3%82%a4-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f-5%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-ESIM-5%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7/1173124643,,1173124643,正規eSIM 即時対応 60万枚突破 �...,,"{""title"": [""【タイ eSIM データ無制限】タイ eSIM 正規eSIM 超高速 5日間 データ無制限 eSIM 5日間 無制限 QRコードで タイ esim 5日間 esim タイ""], ""option_candidates"": [""タイ 5日間（超高速無限データ）""], ""representative_option"": [""タイ 5日間（超高速無限データ）"", ""title_match_score=8""], ""price_jpy"": [""販売価格 1,120円 + option surcharge 0"", ""タイ 5日間（超高速無限データ）""], ""usage_validity"": [""タイ 5日間（超高速無限データ）""], ""activation_validity"": [""【タイ eSIM データ無制限】タイ eSIM 正規eSIM 超高速 5日間 データ無制限 eSIM 5日間 無制限 QRコードで タイ esim 5日間 esim タイ""], ""data_amount"": [""タイ 5日間（超高速無限データ）""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""正規eSIM 即時対応 60万枚突破 �...""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,th,【東南アジア 5ヵ国】 eSIM 5日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効,1780,43,Power seller,10,,,,3일,3일,5일,local,5g_capable,,,"{""ais"": null, ""dtac"": null, ""truemove"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e6%9d%b1%e5%8d%97%e3%82%a2%e3%82%b8%e3%82%a2-5%e3%83%b5%e5%9b%bd-ESIM-5%e6%97%a5%e9%96%93%ef%bc%8f%e5%ae%8c%e5%85%a8%e7%84%a1%e5%88%b6%e9%99%90%ef%bc%88%e4%bd%8e%e9%80%9f%e5%8c%96%e7%84%a1%e3%81%97%ef%bc%89%ef%bc%8f%e3%82%bf%e3%82%a4%e3%83%bb%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0%e3%83%bb%e3%82%b7%e3%83%b3%e3%82%ac%e3%83%9d%e3%83%bc%e3%83%ab%e3%83%bb%e3%82%a4%e3%83%b3%e3%83%89%e3%83%8d%e3%82%b7%e3%82%a2%e3%83%bb%e3%83%9e%e3%83%ac%e3%83%bc%e3%82%b7%e3%82%a2%ef%bc%8f5G%e3%83%bb4G%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf/1126839353,,1126839353,スマートeSIM,,"{""title"": [""【東南アジア 5ヵ国】 eSIM 5日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""price_jpy"": [""販売価格 1,780円""], ""usage_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""activation_validity"": [""【東南アジア 5ヵ国】 eSIM 5日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""data_amount"": [""【東南アジア 5ヵ国】 eSIM 5日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""title_5g: source:title: 【東南アジア 5ヵ国】 eSIM 5日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""seller"": [""スマートeSIM""], ""review_count"": [""search_result: 43""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,th,【タイ eSIM】10日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征,3980,,General seller,12,,,,3일,3일,10일,local,unknown,,,"{""ais"": null, ""dtac"": null, ""truemove"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a4%e3%83%b3%e3%82%b9%e3%82%bf%e3%83%b3%e3%83%88SIM-%e3%82%bf%e3%82%a4-ESIM-10%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1-%e3%83%87%e3%83%bc%e3%82%bf%e4%bd%bf%e3%81%84%e6%94%be%e9%a1%8c-%e3%83%97%e3%83%aa%e3%83%9a%e3%82%a4%e3%83%89-%e3%82%a4%e3%83%bc%e3%82%b7%e3%83%a0-%e3%83%86%e3%82%b6%e3%83%aa%e3%83%b3%e3%82%b0-%e6%9c%80%e7%9f%ad3%e5%88%86QR%e3%82%b3%e3%83%bc%e3%83%89%e7%99%ba%e8%a1%8c/1209828849,,1209828849,インスタントSIM,,"{""title"": [""【タイ eSIM】10日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征""], ""price_jpy"": [""販売価格 3,980円""], ""usage_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""activation_validity"": [""【タイ eSIM】10日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征""], ""data_amount"": [""【タイ eSIM】10日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""インスタントSIM""], ""seller_badge"": [""search_result: General seller""]}"
qoo10_jp,th,【タイ eSIM】7日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征,3380,,General seller,13,,,,3일,3일,7일,local,unknown,,,"{""ais"": null, ""dtac"": null, ""truemove"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a4%e3%83%b3%e3%82%b9%e3%82%bf%e3%83%b3%e3%83%88SIM-%e3%82%bf%e3%82%a4-ESIM-7%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1-%e3%83%87%e3%83%bc%e3%82%bf%e4%bd%bf%e3%81%84%e6%94%be%e9%a1%8c-%e3%83%97%e3%83%aa%e3%83%9a%e3%82%a4%e3%83%89-%e3%82%a4%e3%83%bc%e3%82%b7%e3%83%a0-%e3%83%86%e3%82%b6%e3%83%aa%e3%83%b3%e3%82%b0-%e6%9c%80%e7%9f%ad3%e5%88%86QR%e3%82%b3%e3%83%bc%e3%83%89%e7%99%ba%e8%a1%8c/1209824757,,1209824757,インスタントSIM,,"{""title"": [""【タイ eSIM】7日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征""], ""price_jpy"": [""販売価格 3,380円""], ""usage_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""activation_validity"": [""【タイ eSIM】7日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征""], ""data_amount"": [""【タイ eSIM】7日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""インスタントSIM""], ""seller_badge"": [""search_result: General seller""]}"
qoo10_jp,th,【タイ eSIM】6日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征,3080,,General seller,14,,,,3일,3일,6일,local,unknown,,,"{""ais"": null, ""dtac"": null, ""truemove"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a4%e3%83%b3%e3%82%b9%e3%82%bf%e3%83%b3%e3%83%88SIM-%e3%82%bf%e3%82%a4-ESIM-6%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1-%e3%83%87%e3%83%bc%e3%82%bf%e4%bd%bf%e3%81%84%e6%94%be%e9%a1%8c-%e3%83%97%e3%83%aa%e3%83%9a%e3%82%a4%e3%83%89-%e3%82%a4%e3%83%bc%e3%82%b7%e3%83%a0-%e3%83%86%e3%82%b6%e3%83%aa%e3%83%b3%e3%82%b0-%e6%9c%80%e7%9f%ad3%e5%88%86QR%e3%82%b3%e3%83%bc%e3%83%89%e7%99%ba%e8%a1%8c/1209824147,,1209824147,インスタントSIM,,"{""title"": [""【タイ eSIM】6日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征""], ""price_jpy"": [""販売価格 3,080円""], ""usage_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""activation_validity"": [""【タイ eSIM】6日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征""], ""data_amount"": [""【タイ eSIM】6日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""インスタントSIM""], ""seller_badge"": [""search_result: General seller""]}"
qoo10_jp,th,【タイ eSIM】5日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征,2780,,General seller,15,,,,3일,3일,5일,local,unknown,,,"{""ais"": null, ""dtac"": null, ""truemove"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a4%e3%83%b3%e3%82%b9%e3%82%bf%e3%83%b3%e3%83%88SIM-%e3%82%bf%e3%82%a4-ESIM-5%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1-%e3%83%87%e3%83%bc%e3%82%bf%e4%bd%bf%e3%81%84%e6%94%be%e9%a1%8c-%e3%83%97%e3%83%aa%e3%83%9a%e3%82%a4%e3%83%89-%e3%82%a4%e3%83%bc%e3%82%b7%e3%83%a0-%e3%83%86%e3%82%b6%e3%83%aa%e3%83%b3%e3%82%b0-%e6%9c%80%e7%9f%ad3%e5%88%86QR%e3%82%b3%e3%83%bc%e3%83%89%e7%99%ba%e8%a1%8c/1209821814,,1209821814,インスタントSIM,,"{""title"": [""【タイ eSIM】5日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征""], ""price_jpy"": [""販売価格 2,780円""], ""usage_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""activation_validity"": [""【タイ eSIM】5日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征""], ""data_amount"": [""【タイ eSIM】5日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""インスタントSIM""], ""seller_badge"": [""search_result: General seller""]}"
qoo10_jp,th,【タイ eSIM】4日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征,2480,,General seller,16,,,,3일,3일,4일,local,unknown,,,"{""ais"": null, ""dtac"": null, ""truemove"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a4%e3%83%b3%e3%82%b9%e3%82%bf%e3%83%b3%e3%83%88SIM-%e3%82%bf%e3%82%a4-ESIM-4%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1-%e3%83%87%e3%83%bc%e3%82%bf%e4%bd%bf%e3%81%84%e6%94%be%e9%a1%8c-%e3%83%97%e3%83%aa%e3%83%9a%e3%82%a4%e3%83%89-%e3%82%a4%e3%83%bc%e3%82%b7%e3%83%a0-%e3%83%86%e3%82%b6%e3%83%aa%e3%83%b3%e3%82%b0-%e6%9c%80%e7%9f%ad3%e5%88%86QR%e3%82%b3%e3%83%bc%e3%83%89%e7%99%ba%e8%a1%8c/1209820537,,1209820537,インスタントSIM,,"{""title"": [""【タイ eSIM】4日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征""], ""price_jpy"": [""販売価格 2,480円""], ""usage_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""activation_validity"": [""【タイ eSIM】4日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征""], ""data_amount"": [""【タイ eSIM】4日間 無制限 高速データ通信 データ使い放題 プリペイド イーシム テザリング 最短3分QRコード発行 即日発行 即納 簡単設定 タイ旅行 出張 留学 推し活遠征""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""インスタントSIM""], ""seller_badge"": [""search_result: General seller""]}"
