site,country,title,price_jpy,review_count,seller_badge,search_position,monthly_sold_count,is_bestseller,bestseller_rank,validity,usage_validity,activation_validity,network_type,network_generation,network_generation_inferred,network_generation_confidence,carrier_support_local,carrier_support_kr,data_amount,product_url,asin,site_product_id,seller,brand,evidence
qoo10_jp,hk,香港eSIM マカオeSIM 安心の日本企業 4日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用,1190,37,Power seller,3,,,,4일,4일,90일,local,unknown,,,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e9%a6%99%e6%b8%afESIM-%e3%83%9e%e3%82%ab%e3%82%aaESIM-%e5%ae%89%e5%bf%83%e3%81%ae%e6%97%a5%e6%9c%ac%e4%bc%81%e6%a5%ad-4%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e4%bd%8e%e9%80%9f%e3%81%aa%e3%81%97-%e6%97%a5%e6%9c%ac%e4%ba%ba%e3%82%b9%e3%82%bf%e3%83%83%e3%83%95%e3%81%ab%e3%82%88%e3%82%8bLINE%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88-%e3%81%8a%e6%80%a5%e3%81%8e%e3%81%ae%e6%96%b9%e7%9b%b8%e8%ab%87%e5%8f%af/1115538983,,1115538983,いーしむさん,,"{""title"": [""香港eSIM マカオeSIM 安心の日本企業 4日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""price_jpy"": [""販売価格 1,190円""], ""usage_validity"": [""香港eSIM マカオeSIM 安心の日本企業 4日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""activation_validity"": [""香港eSIM マカオeSIM 安心の日本企業 4日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""data_amount"": [""香港eSIM マカオeSIM 安心の日本企業 4日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""いーしむさん""], ""review_count"": [""search_result: 37""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,hk,【香港 eSIM データ無制限】香港 eSIM 正規eSIM 超高速 1日間 データ無制限 eSIM 1日間 無制限 QRコードで 香港 esim 1日間 esim 香港,460,10,Power seller,4,,,,1일,1일,3일,local,unknown,,,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e9%a6%99%e6%b8%af-ESIM-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e9%a6%99%e6%b8%af-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f-1%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-ESIM-1%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7/1180496571,,1180496571,正規eSIM 即時対応 100万枚突破 ...,,"{""title"": [""【香港 eSIM データ無制限】香港 eSIM 正規eSIM 超高速 1日間 データ無制限 eSIM 1日間 無制限 QRコードで 香港 esim 1日間 esim 香港""], ""option_candidates"": [""1日 香港（超高速無制限のトラフィック） - 数量 : 999866""], ""representative_option"": [""1日 香港（超高速無制限のトラフィック） - 数量 : 999866"", ""title_match_score=8""], ""price_jpy"": [""販売価格 460円 + option surcharge 0"", ""1日 香港（超高速無制限のトラフィック） - 数量 : 999866""], ""usage_validity"": [""1日 香港（超高速無制限のトラフィック） - 数量 : 999866""], ""activation_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""data_amount"": [""1日 香港（超高速無制限のトラフィック） - 数量 : 999866""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""正規eSIM 即時対応 100万枚突破 ...""], ""review_count"": [""search_result: 10""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,hk,中国・香港・マカオeSIM 5G対応 データ無制限 4日間（96時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通,1580,,Good seller,6,,,,4일,4일,4일,local,5g_capable,,,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a4%e3%83%a2%e3%83%88%e3%81%aeESIM-%e4%b8%ad%e5%9b%bd%e3%83%bb%e9%a6%99%e6%b8%af%e3%83%bb%e3%83%9e%e3%82%ab%e3%82%aaESIM-5G%e5%af%be%e5%bf%9c-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-4%e6%97%a5%e9%96%93%ef%bc%8896%e6%99%82%e9%96%93%ef%bc%89-%e3%81%82%e3%82%93%e3%81%97%e3%82%93%e9%80%9a%e4%bf%a1%e4%bf%9d%e8%a8%bc%e4%bb%98-%e3%83%a1%e3%83%bc%e3%83%ab%e3%81%a7%e3%81%99%e3%81%90%e3%81%ab%e5%8f%97%e3%81%91%e5%8f%96%e3%82%8a%e5%8f%af%e8%83%bd-%e3%81%94%e8%b3%bc%e5%85%a5%e6%97%a5%e3%82%88%e3%82%8a90%e6%97%a5%e4%bb%a5/1214236058,,1214236058,イモトのeSIM クーポン,,"{""title"": [""中国・香港・マカオeSIM 5G対応 データ無制限 4日間（96時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""price_jpy"": [""販売価格 1,580円""], ""usage_validity"": [""中国・香港・マカオeSIM 5G対応 データ無制限 4日間（96時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""activation_validity"": [""中国・香港・マカオeSIM 5G対応 データ無制限 4日間（96時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""data_amount"": [""中国・香港・マカオeSIM 5G対応 データ無制限 4日間（96時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""title_5g: source:title: 中国・香港・マカオeSIM 5G対応 データ無制限 4日間（96時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""seller"": [""イモトのeSIM クーポン""], ""seller_badge"": [""search_result: Good seller""]}"
qoo10_jp,hk,中国・香港・マカオeSIM 5G対応 データ無制限 5日間（120時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通,1880,,Good seller,9,,,,5일,5일,5일,local,5g_capable,,,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a4%e3%83%a2%e3%83%88%e3%81%aeESIM-%e4%b8%ad%e5%9b%bd%e3%83%bb%e9%a6%99%e6%b8%af%e3%83%bb%e3%83%9e%e3%82%ab%e3%82%aaESIM-5G%e5%af%be%e5%bf%9c-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-5%e6%97%a5%e9%96%93%ef%bc%88120%e6%99%82%e9%96%93%ef%bc%89-%e3%81%82%e3%82%93%e3%81%97%e3%82%93%e9%80%9a%e4%bf%a1%e4%bf%9d%e8%a8%bc%e4%bb%98-%e3%83%a1%e3%83%bc%e3%83%ab%e3%81%a7%e3%81%99%e3%81%90%e3%81%ab%e5%8f%97%e3%81%91%e5%8f%96%e3%82%8a%e5%8f%af%e8%83%bd/1214231576,,1214231576,イモトのeSIM クーポン,,"{""title"": [""中国・香港・マカオeSIM 5G対応 データ無制限 5日間（120時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""price_jpy"": [""販売価格 1,880円""], ""usage_validity"": [""中国・香港・マカオeSIM 5G対応 データ無制限 5日間（120時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""activation_validity"": [""中国・香港・マカオeSIM 5G対応 データ無制限 5日間（120時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""data_amount"": [""中国・香港・マカオeSIM 5G対応 データ無制限 5日間（120時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""title_5g: source:title: 中国・香港・マカオeSIM 5G対応 データ無制限 5日間（120時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""seller"": [""イモトのeSIM クーポン""], ""seller_badge"": [""search_result: Good seller""]}"
qoo10_jp,hk,中国・香港・マカオeSIM 5G対応 データ無制限 3日間（72時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通,1380,1,Good seller,10,,,,3일,3일,3일,local,5g_capable,,,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a4%e3%83%a2%e3%83%88%e3%81%aeESIM-%e4%b8%ad%e5%9b%bd%e3%83%bb%e9%a6%99%e6%b8%af%e3%83%bb%e3%83%9e%e3%82%ab%e3%82%aaESIM-5G%e5%af%be%e5%bf%9c-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-3%e6%97%a5%e9%96%93%ef%bc%8872%e6%99%82%e9%96%93%ef%bc%89-%e3%81%82%e3%82%93%e3%81%97%e3%82%93%e9%80%9a%e4%bf%a1%e4%bf%9d%e8%a8%bc%e4%bb%98-%e3%83%a1%e3%83%bc%e3%83%ab%e3%81%a7%e3%81%99%e3%81%90%e3%81%ab%e5%8f%97%e3%81%91%e5%8f%96%e3%82%8a%e5%8f%af%e8%83%bd-%e3%81%94%e8%b3%bc%e5%85%a5%e6%97%a5%e3%82%88%e3%82%8a90%e6%97%a5%e4%bb%a5/1214231516,,1214231516,イモトのeSIM クーポン,,"{""title"": [""中国・香港・マカオeSIM 5G対応 データ無制限 3日間（72時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""price_jpy"": [""販売価格 1,380円""], ""usage_validity"": [""中国・香港・マカオeSIM 5G対応 データ無制限 3日間（72時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""activation_validity"": [""中国・香港・マカオeSIM 5G対応 データ無制限 3日間（72時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""data_amount"": [""中国・香港・マカオeSIM 5G対応 データ無制限 3日間（72時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""title_5g: source:title: 中国・香港・マカオeSIM 5G対応 データ無制限 3日間（72時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""seller"": [""イモトのeSIM クーポン""], ""review_count"": [""search_result: 1""], ""seller_badge"": [""search_result: Good seller""]}"
qoo10_jp,hk,香港eSIM マカオeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用,1260,9,Power seller,11,,,,5일,5일,90일,local,unknown,,,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e9%a6%99%e6%b8%afESIM-%e3%83%9e%e3%82%ab%e3%82%aaESIM-%e5%ae%89%e5%bf%83%e3%81%ae%e6%97%a5%e6%9c%ac%e4%bc%81%e6%a5%ad-5%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e4%bd%8e%e9%80%9f%e3%81%aa%e3%81%97-%e6%97%a5%e6%9c%ac%e4%ba%ba%e3%82%b9%e3%82%bf%e3%83%83%e3%83%95%e3%81%ab%e3%82%88%e3%82%8bLINE%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88-%e3%81%8a%e6%80%a5%e3%81%8e%e3%81%ae%e6%96%b9%e7%9b%b8%e8%ab%87%e5%8f%af/1117854536,,1117854536,いーしむさん,,"{""title"": [""香港eSIM マカオeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""price_jpy"": [""販売価格 1,260円""], ""usage_validity"": [""香港eSIM マカオeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""activation_validity"": [""香港eSIM マカオeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""data_amount"": [""香港eSIM マカオeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""いーしむさん""], ""review_count"": [""search_result: 9""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,hk,【共通して用 中国/香港/マカオ】 eSIM 正規eSIM 超高速3-10日間 データ無制限 無制限 QRコードで eSIM 3日間 eSIM 5日間 eSIM 7日間 eSIM,1080,2,Power seller,12,,,,3일,3일,3일,local,unknown,,,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e5%85%b1%e9%80%9a%e3%81%97%e3%81%a6%e7%94%a8-%e4%b8%ad%e5%9b%bd-%e9%a6%99%e6%b8%af-%e3%83%9e%e3%82%ab%e3%82%aa-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f3-10%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e7%84%a1%e5%88%b6%e9%99%90-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7-ESIM/1190348510,,1190348510,正規eSIM 即時対応 100万枚突破 ...,,"{""title"": [""【共通して用 中国/香港/マカオ】 eSIM 正規eSIM 超高速3-10日間 データ無制限 無制限 QRコードで eSIM 3日間 eSIM 5日間 eSIM 7日間 eSIM""], ""price_jpy"": [""販売価格 1,080円""], ""usage_validity"": [""【共通して用 中国/香港/マカオ】 eSIM 正規eSIM 超高速3-10日間 データ無制限 無制限 QRコードで eSIM 3日間 eSIM 5日間 eSIM 7日間 eSIM""], ""activation_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""data_amount"": [""【共通して用 中国/香港/マカオ】 eSIM 正規eSIM 超高速3-10日間 データ無制限 無制限 QRコードで eSIM 3日間 eSIM 5日間 eSIM 7日間 eSIM""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""正規eSIM 即時対応 100万枚突破 ...""], ""review_count"": [""search_result: 2""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,hk,中国・香港・マカオeSIM 5G対応 データ無制限 10日間（240時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通,3780,,Good seller,13,,,,10일,10일,10일,local,5g_capable,,,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a4%e3%83%a2%e3%83%88%e3%81%aeESIM-%e4%b8%ad%e5%9b%bd%e3%83%bb%e9%a6%99%e6%b8%af%e3%83%bb%e3%83%9e%e3%82%ab%e3%82%aaESIM-5G%e5%af%be%e5%bf%9c-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-10%e6%97%a5%e9%96%93%ef%bc%88240%e6%99%82%e9%96%93%ef%bc%89-%e3%81%82%e3%82%93%e3%81%97%e3%82%93%e9%80%9a%e4%bf%a1%e4%bf%9d%e8%a8%bc%e4%bb%98-%e3%83%a1%e3%83%bc%e3%83%ab%e3%81%a7%e3%81%99%e3%81%90%e3%81%ab%e5%8f%97%e3%81%91%e5%8f%96%e3%82%8a%e5%8f%af%e8%83%bd/1214238666,,1214238666,イモトのeSIM クーポン,,"{""title"": [""中国・香港・マカオeSIM 5G対応 データ無制限 10日間（240時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""price_jpy"": [""販売価格 3,780円""], ""usage_validity"": [""中国・香港・マカオeSIM 5G対応 データ無制限 10日間（240時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""activation_validity"": [""中国・香港・マカオeSIM 5G対応 データ無制限 10日間（240時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""data_amount"": [""中国・香港・マカオeSIM 5G対応 データ無制限 10日間（240時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""title_5g: source:title: 中国・香港・マカオeSIM 5G対応 データ無制限 10日間（240時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""seller"": [""イモトのeSIM クーポン""], ""seller_badge"": [""search_result: Good seller""]}"
qoo10_jp,hk,中国・香港・マカオeSIM 5G対応 データ無制限 15日間（360時間）あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通,5180,,Good seller,14,,,,15일,15일,15일,local,5g_capable,,,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a4%e3%83%a2%e3%83%88%e3%81%aeESIM-%e4%b8%ad%e5%9b%bd%e3%83%bb%e9%a6%99%e6%b8%af%e3%83%bb%e3%83%9e%e3%82%ab%e3%82%aaESIM-5G%e5%af%be%e5%bf%9c-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-15%e6%97%a5%e9%96%93%ef%bc%88360%e6%99%82%e9%96%93%ef%bc%89%e3%81%82%e3%82%93%e3%81%97%e3%82%93%e9%80%9a%e4%bf%a1%e4%bf%9d%e8%a8%bc%e4%bb%98-%e3%83%a1%e3%83%bc%e3%83%ab%e3%81%a7%e3%81%99%e3%81%90%e3%81%ab%e5%8f%97%e3%81%91%e5%8f%96%e3%82%8a%e5%8f%af%e8%83%bd/1214240170,,1214240170,イモトのeSIM クーポン,,"{""title"": [""中国・香港・マカオeSIM 5G対応 データ無制限 15日間（360時間）あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""price_jpy"": [""販売価格 5,180円""], ""usage_validity"": [""中国・香港・マカオeSIM 5G対応 データ無制限 15日間（360時間）あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""activation_validity"": [""中国・香港・マカオeSIM 5G対応 データ無制限 15日間（360時間）あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""data_amount"": [""中国・香港・マカオeSIM 5G対応 データ無制限 15日間（360時間）あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""title_5g: source:title: 中国・香港・マカオeSIM 5G対応 データ無制限 15日間（360時間）あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""seller"": [""イモトのeSIM クーポン""], ""seller_badge"": [""search_result: Good seller""]}"
qoo10_jp,hk,中国・香港・マカオeSIM 5G対応 データ無制限 30日間（720時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通,9800,,Good seller,15,,,,30일,30일,30일,local,5g_capable,,,"{""cmhk"": null, ""csl"": null, ""smartone"": null, ""three_hk"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a4%e3%83%a2%e3%83%88%e3%81%aeESIM-%e4%b8%ad%e5%9b%bd%e3%83%bb%e9%a6%99%e6%b8%af%e3%83%bb%e3%83%9e%e3%82%ab%e3%82%aaESIM-5G%e5%af%be%e5%bf%9c-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-30%e6%97%a5%e9%96%93%ef%bc%88720%e6%99%82%e9%96%93%ef%bc%89-%e3%81%82%e3%82%93%e3%81%97%e3%82%93%e9%80%9a%e4%bf%a1%e4%bf%9d%e8%a8%bc%e4%bb%98-%e3%83%a1%e3%83%bc%e3%83%ab%e3%81%a7%e3%81%99%e3%81%90%e3%81%ab%e5%8f%97%e3%81%91%e5%8f%96%e3%82%8a%e5%8f%af%e8%83%bd/1214240482,,1214240482,イモトのeSIM クーポン,,"{""title"": [""中国・香港・マカオeSIM 5G対応 データ無制限 30日間（720時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""price_jpy"": [""販売価格 9,800円""], ""usage_validity"": [""中国・香港・マカオeSIM 5G対応 データ無制限 30日間（720時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""activation_validity"": [""中国・香港・マカオeSIM 5G対応 データ無制限 30日間（720時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""data_amount"": [""中国・香港・マカオeSIM 5G対応 データ無制限 30日間（720時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""title_5g: source:title: 中国・香港・マカオeSIM 5G対応 データ無制限 30日間（720時間） あんしん通信保証付 メールですぐに受け取り可能 ご購入日より90日以内に要開通""], ""seller"": [""イモトのeSIM クーポン""], ""seller_badge"": [""search_result: Good seller""]}"
