site,country,title,price_jpy,review_count,seller_badge,search_position,monthly_sold_count,is_bestseller,bestseller_rank,validity,usage_validity,activation_validity,network_type,network_generation,network_generation_inferred,network_generation_confidence,carrier_support_local,carrier_support_kr,data_amount,product_url,asin,site_product_id,seller,brand,evidence
qoo10_jp,us,【アメリカ eSIM】 正規eSIM 超高速6-7日間 データ通信専用 即発行即利用可能 アメリカeSIM 6-7日間 QRコードで アメリカ esim,1790,16,Power seller,1,,,,7일,7일,6일,local,unknown,,,"{""att"": null, ""tmobile"": null, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f6-7%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%e5%b0%82%e7%94%a8-%e5%8d%b3%e7%99%ba%e8%a1%8c%e5%8d%b3%e5%88%a9%e7%94%a8%e5%8f%af%e8%83%bd-%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%abESIM-6-7%e6%97%a5%e9%96%93-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7/1167819640,,1167819640,正規eSIM 超高速 安心保証⚡,,"{""title"": [""【アメリカ eSIM】 正規eSIM 超高速6-7日間 データ通信専用 即発行即利用可能 アメリカeSIM 6-7日間 QRコードで アメリカ esim""], ""option_candidates"": [""アメリカ 4日（超高速無限データ） - 数量 : 999993"", ""アメリカ 5日（超高速無限データ）(+100円) - 数量 : 999965"", ""アメリカ 6日（超高速無限データ）(+400円) - 数量 : 999938""], ""representative_option"": [""アメリカ 7日（超高速無限データ）(+500円) - 数量 : 999897"", ""title_match_score=6""], ""price_jpy"": [""販売価格 1,290円 + option surcharge 500"", ""アメリカ 7日（超高速無限データ）(+500円) - 数量 : 999897""], ""usage_validity"": [""アメリカ 7日（超高速無限データ）(+500円) - 数量 : 999897""], ""activation_validity"": [""【アメリカ eSIM】 正規eSIM 超高速6-7日間 データ通信専用 即発行即利用可能 アメリカeSIM 6-7日間 QRコードで アメリカ esim""], ""data_amount"": [""アメリカ 7日（超高速無限データ）(+500円) - 数量 : 999897""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""正規eSIM 超高速 安心保証⚡""], ""review_count"": [""search_result: 16""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,us,アメリカ・ハワイeSIM 安心の日本企業 6日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用,1790,3,Power seller,2,,,,6일,6일,90일,local,unknown,,,"{""att"": null, ""tmobile"": true, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab%e3%83%bb%e3%83%8f%e3%83%af%e3%82%a4ESIM-%e5%ae%89%e5%bf%83%e3%81%ae%e6%97%a5%e6%9c%ac%e4%bc%81%e6%a5%ad-6%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e4%bd%8e%e9%80%9f%e3%81%aa%e3%81%97-%e6%97%a5%e6%9c%ac%e4%ba%ba%e3%82%b9%e3%82%bf%e3%83%83%e3%83%95%e3%81%ab%e3%82%88%e3%82%8bLINE%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88-%e3%81%8a%e6%80%a5%e3%81%8e%e3%81%ae%e6%96%b9%e7%9b%b8%e8%ab%87%e5%8f%af/1145725703,,1145725703,いーしむさん,,"{""title"": [""アメリカ・ハワイeSIM 安心の日本企業 6日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""price_jpy"": [""販売価格 1,790円""], ""usage_validity"": [""アメリカ・ハワイeSIM 安心の日本企業 6日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""activation_validity"": [""アメリカ・ハワイeSIM 安心の日本企業 6日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""data_amount"": [""アメリカ・ハワイeSIM 安心の日本企業 6日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""carrier_support_local"": [""T-Mobile: [Qoo10] アメリカ・ハワイeSIM 安心の日本企業 : スマートフォン・タブレットPC Go to the Content Go to the Main Menu Go to the Viewed Today Go to the Footer X ログイン My Qoo10 カート Qpost""], ""seller"": [""いーしむさん""], ""review_count"": [""search_result: 3""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,us,【5分以内に納品】 アメリカ ハワイ eSIM 7日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効,2180,35,Power seller,4,,,,3일,3일,7일,local,5g_capable,,,"{""att"": null, ""tmobile"": null, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/5%e5%88%86%e4%bb%a5%e5%86%85%e3%81%ab%e7%b4%8d%e5%93%81-%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab-%e3%83%8f%e3%83%af%e3%82%a4-ESIM-7%e6%97%a5%e9%96%93%ef%bc%8f%e7%84%a1%e5%88%b6%e9%99%90%ef%bc%88%e3%83%87%e3%83%bc%e3%82%bf%e5%ae%b9%e9%87%8f%e4%b8%8a%e9%99%90%e7%84%a1%e3%81%97%ef%bc%89%ef%bc%8f5G%e3%83%bb4G%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%ef%bc%8f%e3%83%91%e3%82%b9%e3%83%9d%e3%83%bc%e3%83%88%e7%99%bb%e9%8c%b2%e4%b8%8d%e8%a6%81%ef%bc%8f%e3%81%94%e8%b3%bc%e5%85%a5%e3%81%8b%e3%82%891/1123638428,,1123638428,スマートeSIM,,"{""title"": [""【5分以内に納品】 アメリカ ハワイ eSIM 7日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""price_jpy"": [""販売価格 2,180円""], ""usage_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""activation_validity"": [""【5分以内に納品】 アメリカ ハワイ eSIM 7日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""data_amount"": [""【5分以内に納品】 アメリカ ハワイ eSIM 7日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""title_5g: source:title: 【5分以内に納品】 アメリカ ハワイ eSIM 7日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""seller"": [""スマートeSIM""], ""review_count"": [""search_result: 35""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,us,【アメリカ ハワイ eSIM】 正規eSIM 超高速3-5日間 データ通信専用 即発行即利用可能 アメリカeSIM ハワイ esim 3-5日間 QRコードで アメリカ esim,1390,14,Power seller,3,,,,5일,5일,3일,local,unknown,,,"{""att"": null, ""tmobile"": null, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab-%e3%83%8f%e3%83%af%e3%82%a4-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f3-5%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%e5%b0%82%e7%94%a8-%e5%8d%b3%e7%99%ba%e8%a1%8c%e5%8d%b3%e5%88%a9%e7%94%a8%e5%8f%af%e8%83%bd-%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%abESIM-%e3%83%8f%e3%83%af%e3%82%a4/1160043287,,1160043287,正規eSIM 即時対応 180万枚突破 ...,,"{""title"": [""【アメリカ ハワイ eSIM】 正規eSIM 超高速3-5日間 データ通信専用 即発行即利用可能 アメリカeSIM ハワイ esim 3-5日間 QRコードで アメリカ esim""], ""option_candidates"": [""アメリカ/ハワイ 3日 （超高速無限データ） - 数量 : 999956"", ""アメリカ/ハワイ 4日（超高速無限データ）(+300円) - 数量 : 999920"", ""アメリカ/ハワイ 5日（超高速無限データ）(+400円) - 数量 : 999869""], ""representative_option"": [""アメリカ/ハワイ 5日（超高速無限データ）(+400円) - 数量 : 999869"", ""title_match_score=6""], ""price_jpy"": [""販売価格 990円 + option surcharge 400"", ""アメリカ/ハワイ 5日（超高速無限データ）(+400円) - 数量 : 999869""], ""usage_validity"": [""アメリカ/ハワイ 5日（超高速無限データ）(+400円) - 数量 : 999869""], ""activation_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""data_amount"": [""アメリカ/ハワイ 5日（超高速無限データ）(+400円) - 数量 : 999869""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""正規eSIM 即時対応 180万枚突破 ...""], ""review_count"": [""search_result: 14""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,us,【アメリカ eSIM データ無制限】アメリカ eSIM 正規eSIM 超高速 2日間 データ無制限 eSIM 2日間 無制限 QRコードで アメリカ esim 2日間 esim アメリカ,1000,,Power seller,5,,,,2일,2일,3일,local,unknown,,,"{""att"": null, ""tmobile"": null, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab-ESIM-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f-2%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-ESIM-2%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90/1202343119,,1202343119,正規eSIM 即時対応 60万枚突破 �...,,"{""title"": [""【アメリカ eSIM データ無制限】アメリカ eSIM 正規eSIM 超高速 2日間 データ無制限 eSIM 2日間 無制限 QRコードで アメリカ esim 2日間 esim アメリカ""], ""price_jpy"": [""販売価格 1,000円""], ""usage_validity"": [""【アメリカ eSIM データ無制限】アメリカ eSIM 正規eSIM 超高速 2日間 データ無制限 eSIM 2日間 無制限 QRコードで アメリカ esim 2日間 esim アメリカ""], ""activation_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""data_amount"": [""【アメリカ eSIM データ無制限】アメリカ eSIM 正規eSIM 超高速 2日間 データ無制限 eSIM 2日間 無制限 QRコードで アメリカ esim 2日間 esim アメリカ""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""正規eSIM 即時対応 60万枚突破 �...""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,us,アメリカ・ハワイeSIM 安心の日本企業 8日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用,2600,2,Power seller,6,,,,8일,8일,90일,local,unknown,,,"{""att"": null, ""tmobile"": true, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab%e3%83%bb%e3%83%8f%e3%83%af%e3%82%a4ESIM-%e5%ae%89%e5%bf%83%e3%81%ae%e6%97%a5%e6%9c%ac%e4%bc%81%e6%a5%ad-8%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e4%bd%8e%e9%80%9f%e3%81%aa%e3%81%97-%e6%97%a5%e6%9c%ac%e4%ba%ba%e3%82%b9%e3%82%bf%e3%83%83%e3%83%95%e3%81%ab%e3%82%88%e3%82%8bLINE%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88-%e3%81%8a%e6%80%a5%e3%81%8e%e3%81%ae%e6%96%b9%e7%9b%b8%e8%ab%87%e5%8f%af/1145727725,,1145727725,いーしむさん,,"{""title"": [""アメリカ・ハワイeSIM 安心の日本企業 8日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""price_jpy"": [""販売価格 2,600円""], ""usage_validity"": [""アメリカ・ハワイeSIM 安心の日本企業 8日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""activation_validity"": [""アメリカ・ハワイeSIM 安心の日本企業 8日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""data_amount"": [""アメリカ・ハワイeSIM 安心の日本企業 8日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""carrier_support_local"": [""T-Mobile: [Qoo10] アメリカ・ハワイeSIM 安心の日本企業 : スマートフォン・タブレットPC Go to the Content Go to the Main Menu Go to the Viewed Today Go to the Footer X ログイン My Qoo10 カート Qpost""], ""seller"": [""いーしむさん""], ""review_count"": [""search_result: 2""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,us,【5分以内に納品】 アメリカ ハワイ eSIM 5日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効,1520,57,Power seller,7,,,,3일,3일,5일,local,5g_capable,,,"{""att"": null, ""tmobile"": null, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/5%e5%88%86%e4%bb%a5%e5%86%85%e3%81%ab%e7%b4%8d%e5%93%81-%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab-%e3%83%8f%e3%83%af%e3%82%a4-ESIM-5%e6%97%a5%e9%96%93%ef%bc%8f%e7%84%a1%e5%88%b6%e9%99%90%ef%bc%88%e3%83%87%e3%83%bc%e3%82%bf%e5%ae%b9%e9%87%8f%e4%b8%8a%e9%99%90%e7%84%a1%e3%81%97%ef%bc%89%ef%bc%8f5G%e3%83%bb4G%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%ef%bc%8f%e3%83%91%e3%82%b9%e3%83%9d%e3%83%bc%e3%83%88%e7%99%bb%e9%8c%b2%e4%b8%8d%e8%a6%81%ef%bc%8f%e3%81%94%e8%b3%bc%e5%85%a5%e3%81%8b%e3%82%891/1123638242,,1123638242,スマートeSIM,,"{""title"": [""【5分以内に納品】 アメリカ ハワイ eSIM 5日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""price_jpy"": [""販売価格 1,520円""], ""usage_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""activation_validity"": [""【5分以内に納品】 アメリカ ハワイ eSIM 5日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""data_amount"": [""【5分以内に納品】 アメリカ ハワイ eSIM 5日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""title_5g: source:title: 【5分以内に納品】 アメリカ ハワイ eSIM 5日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""seller"": [""スマートeSIM""], ""review_count"": [""search_result: 57""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,us,アメリカ カナダeSIM 8日間 高速データ完全無制限 北米旅行 プリペイドSIM 4G/5G対応 旅行・留学・出張 簡単設定 テザリングOK,3938,,General seller,8,,,,3일,3일,8일,local,5g_capable,,,"{""att"": null, ""tmobile"": null, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab-%e3%82%ab%e3%83%8a%e3%83%80ESIM-8%e6%97%a5%e9%96%93-%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e5%ae%8c%e5%85%a8%e7%84%a1%e5%88%b6%e9%99%90-%e5%8c%97%e7%b1%b3%e6%97%85%e8%a1%8c-%e3%83%97%e3%83%aa%e3%83%9a%e3%82%a4%e3%83%89SIM-4G-5G%e5%af%be%e5%bf%9c-%e6%97%85%e8%a1%8c%e3%83%bb%e7%95%99%e5%ad%a6%e3%83%bb%e5%87%ba%e5%bc%b5-%e7%b0%a1%e5%8d%98%e8%a8%ad%e5%ae%9a/1204204464,,1204204464,ジェスロモバイルジャパン,,"{""title"": [""アメリカ カナダeSIM 8日間 高速データ完全無制限 北米旅行 プリペイドSIM 4G/5G対応 旅行・留学・出張 簡単設定 テザリングOK""], ""price_jpy"": [""販売価格 3,938円""], ""usage_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""activation_validity"": [""アメリカ カナダeSIM 8日間 高速データ完全無制限 北米旅行 プリペイドSIM 4G/5G対応 旅行・留学・出張 簡単設定 テザリングOK""], ""data_amount"": [""アメリカ カナダeSIM 8日間 高速データ完全無制限 北米旅行 プリペイドSIM 4G/5G対応 旅行・留学・出張 簡単設定 テザリングOK""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""title_5g: source:title: アメリカ カナダeSIM 8日間 高速データ完全無制限 北米旅行 プリペイドSIM 4G/5G対応 旅行・留学・出張 簡単設定 テザリングOK""], ""seller"": [""ジェスロモバイルジャパン""], ""seller_badge"": [""search_result: General seller""]}"
qoo10_jp,us,アメリカ・ハワイeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用,1390,6,Power seller,11,,,,5일,5일,90일,local,unknown,,,"{""att"": null, ""tmobile"": true, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab%e3%83%bb%e3%83%8f%e3%83%af%e3%82%a4ESIM-%e5%ae%89%e5%bf%83%e3%81%ae%e6%97%a5%e6%9c%ac%e4%bc%81%e6%a5%ad-5%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e4%bd%8e%e9%80%9f%e3%81%aa%e3%81%97-%e6%97%a5%e6%9c%ac%e4%ba%ba%e3%82%b9%e3%82%bf%e3%83%83%e3%83%95%e3%81%ab%e3%82%88%e3%82%8bLINE%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88-%e3%81%8a%e6%80%a5%e3%81%8e%e3%81%ae%e6%96%b9%e7%9b%b8%e8%ab%87%e5%8f%af/1145720697,,1145720697,いーしむさん,,"{""title"": [""アメリカ・ハワイeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""price_jpy"": [""販売価格 1,390円""], ""usage_validity"": [""アメリカ・ハワイeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""activation_validity"": [""アメリカ・ハワイeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""data_amount"": [""アメリカ・ハワイeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""fallback_5g: source:review_list: 5 5 mir*** 2026.08.20 eSIM対応端末／SIMロック解除済みの端末ですか:確認しました ご注文後、1時間以内に商品を配送いたします:確認しました 商品の納品（QRコード）はご注文後、メールアドレス宛にお送りいたします:確認しました オプション : eSIM対応端末／SIMロック解除済みの端末ですか"", ""fallback_only_network_generation_signal""], ""carrier_support_local"": [""T-Mobile: [Qoo10] アメリカ・ハワイeSIM 安心の日本企業 : スマートフォン・タブレットPC Go to the Content Go to the Main Menu Go to the Viewed Today Go to the Footer X ログイン My Qoo10 カート Qpost""], ""seller"": [""いーしむさん""], ""review_count"": [""search_result: 6""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,us,【アメリカ eSIM】4日間 完全無制限 高速データ通信 現地無料通話 通話付き SMS対応 データ使い放題 プリペイド イーシム 最短3分QRコード発行 即日発行 簡単設定 米国旅行 出張 留学,2280,,General seller,12,,,,3일,3일,4일,local,unknown,,,"{""att"": null, ""tmobile"": null, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a4%e3%83%b3%e3%82%b9%e3%82%bf%e3%83%b3%e3%83%88SIM-%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab-ESIM-4%e6%97%a5%e9%96%93-%e5%ae%8c%e5%85%a8%e7%84%a1%e5%88%b6%e9%99%90-%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1-%e7%8f%be%e5%9c%b0%e7%84%a1%e6%96%99%e9%80%9a%e8%a9%b1-%e9%80%9a%e8%a9%b1%e4%bb%98%e3%81%8d-SMS%e5%af%be%e5%bf%9c-%e3%83%87%e3%83%bc%e3%82%bf%e4%bd%bf%e3%81%84%e6%94%be%e9%a1%8c-%e3%83%97%e3%83%aa%e3%83%9a%e3%82%a4%e3%83%89/1212145337,,1212145337,インスタントSIM,,"{""title"": [""【アメリカ eSIM】4日間 完全無制限 高速データ通信 現地無料通話 通話付き SMS対応 データ使い放題 プリペイド イーシム 最短3分QRコード発行 即日発行 簡単設定 米国旅行 出張 留学""], ""price_jpy"": [""販売価格 2,280円""], ""usage_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""activation_validity"": [""【アメリカ eSIM】4日間 完全無制限 高速データ通信 現地無料通話 通話付き SMS対応 データ使い放題 プリペイド イーシム 最短3分QRコード発行 即日発行 簡単設定 米国旅行 出張 留学""], ""data_amount"": [""【アメリカ eSIM】4日間 完全無制限 高速データ通信 現地無料通話 通話付き SMS対応 データ使い放題 プリペイド イーシム 最短3分QRコード発行 即日発行 簡単設定 米国旅行 出張 留学""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""インスタントSIM""], ""seller_badge"": [""search_result: General seller""]}"
