site,country,title,price_jpy,review_count,seller_badge,search_position,monthly_sold_count,is_bestseller,bestseller_rank,validity,usage_validity,activation_validity,network_type,carrier_support_kr,data_amount,product_url,asin,site_product_id,seller,brand,evidence
qoo10_jp,tw,【台湾 eSIM データ無制限】台湾 eSIM 正規eSIM 超高速 5日間 データ無制限 eSIM 5日間 無制限 QRコードで 台湾 esim 5日間 esim 台湾,1330,,Good seller,2,,,,5일,5일,5일,local,"{""skt"": true, ""kt"": true, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e5%8f%b0%e6%b9%be-ESIM-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e5%8f%b0%e6%b9%be-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f-5%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-ESIM-5%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7/1180512009,,1180512009,正規eSIM 即時対応 100万枚突破 ...,,"{""title"": [""【台湾 eSIM データ無制限】台湾 eSIM 正規eSIM 超高速 5日間 データ無制限 eSIM 5日間 無制限 QRコードで 台湾 esim 5日間 esim 台湾""], ""option_candidates"": [""5日 台湾（超高速無制限のトラフィック） - 数量 : 999997""], ""representative_option"": [""5日 台湾（超高速無制限のトラフィック） - 数量 : 999997"", ""title_match_score=8""], ""price_jpy"": [""販売価格 1,330円 + option surcharge 0"", ""5日 台湾（超高速無制限のトラフィック） - 数量 : 999997""], ""usage_validity"": [""5日 台湾（超高速無制限のトラフィック） - 数量 : 999997""], ""activation_validity"": [""【台湾 eSIM データ無制限】台湾 eSIM 正規eSIM 超高速 5日間 データ無制限 eSIM 5日間 無制限 QRコードで 台湾 esim 5日間 esim 台湾""], ""data_amount"": [""5日 台湾（超高速無制限のトラフィック） - 数量 : 999997""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)"", ""【KT Japan直営】韓国 eSIM 3日間 72時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 3日 イーシム 1,700円 1,600円 4.8 (14,515)""], ""seller"": [""正規eSIM 即時対応 100万枚突破 ...""], ""seller_badge"": [""search_result: Good seller""]}"
qoo10_jp,tw,【5分以内に納品】 台湾 eSIM 3日間／完全無制限（低速化無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効,980,48,Power seller,3,,,,3일,3일,3일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/5%e5%88%86%e4%bb%a5%e5%86%85%e3%81%ab%e7%b4%8d%e5%93%81-%e5%8f%b0%e6%b9%be-ESIM-3%e6%97%a5%e9%96%93%ef%bc%8f%e5%ae%8c%e5%85%a8%e7%84%a1%e5%88%b6%e9%99%90%ef%bc%88%e4%bd%8e%e9%80%9f%e5%8c%96%e7%84%a1%e3%81%97%ef%bc%89%ef%bc%8f5G%e3%83%bb4G%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%ef%bc%8f%e3%83%91%e3%82%b9%e3%83%9d%e3%83%bc%e3%83%88%e7%99%bb%e9%8c%b2%e4%b8%8d%e8%a6%81%ef%bc%8f%e3%81%94%e8%b3%bc%e5%85%a5%e3%81%8b%e3%82%89180%e6%97%a5%e9%96%93%e6%9c%89%e5%8a%b9/1123594923,,1123594923,スマートeSIM,,"{""title"": [""【5分以内に納品】 台湾 eSIM 3日間／完全無制限（低速化無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""price_jpy"": [""販売価格 980円""], ""usage_validity"": [""【5分以内に納品】 台湾 eSIM 3日間／完全無制限（低速化無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""activation_validity"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""data_amount"": [""【5分以内に納品】 台湾 eSIM 3日間／完全無制限（低速化無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""seller"": [""スマートeSIM""], ""review_count"": [""search_result: 48""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,tw,【5分以内に納品】 台湾 eSIM 4日間／完全無制限（低速化無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効,1280,1,Power seller,4,,,,3일,3일,4일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/5%e5%88%86%e4%bb%a5%e5%86%85%e3%81%ab%e7%b4%8d%e5%93%81-%e5%8f%b0%e6%b9%be-ESIM-4%e6%97%a5%e9%96%93%ef%bc%8f%e5%ae%8c%e5%85%a8%e7%84%a1%e5%88%b6%e9%99%90%ef%bc%88%e4%bd%8e%e9%80%9f%e5%8c%96%e7%84%a1%e3%81%97%ef%bc%89%ef%bc%8f5G%e3%83%bb4G%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%ef%bc%8f%e3%83%91%e3%82%b9%e3%83%9d%e3%83%bc%e3%83%88%e7%99%bb%e9%8c%b2%e4%b8%8d%e8%a6%81%ef%bc%8f%e3%81%94%e8%b3%bc%e5%85%a5%e3%81%8b%e3%82%89180%e6%97%a5%e9%96%93%e6%9c%89%e5%8a%b9/1173870787,,1173870787,スマートeSIM,,"{""title"": [""【5分以内に納品】 台湾 eSIM 4日間／完全無制限（低速化無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""price_jpy"": [""販売価格 1,280円""], ""usage_validity"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""activation_validity"": [""【5分以内に納品】 台湾 eSIM 4日間／完全無制限（低速化無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""data_amount"": [""【5分以内に納品】 台湾 eSIM 4日間／完全無制限（低速化無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""seller"": [""スマートeSIM""], ""review_count"": [""search_result: 1""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,tw,【台湾 香港 マカオ eSIM データ無制限】3-10日間 eSIM 正規eSIM 超高速 データ無制限 eSIM 無制限 QRコードで 台湾 esim esim 香港 マカオ esim,840,,Good seller,6,,,,3일,3일,3일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e5%8f%b0%e6%b9%be-%e9%a6%99%e6%b8%af-%e3%83%9e%e3%82%ab%e3%82%aa-ESIM-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-3-10%e6%97%a5%e9%96%93-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-ESIM-%e7%84%a1%e5%88%b6%e9%99%90/1191146521,,1191146521,正規eSIM 即時対応 100万枚突破 ...,,"{""title"": [""【台湾 香港 マカオ eSIM データ無制限】3-10日間 eSIM 正規eSIM 超高速 データ無制限 eSIM 無制限 QRコードで 台湾 esim esim 香港 マカオ esim""], ""price_jpy"": [""販売価格 840円""], ""usage_validity"": [""【台湾 香港 マカオ eSIM データ無制限】3-10日間 eSIM 正規eSIM 超高速 データ無制限 eSIM 無制限 QRコードで 台湾 esim esim 香港 マカオ esim""], ""activation_validity"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""data_amount"": [""【台湾 香港 マカオ eSIM データ無制限】3-10日間 eSIM 正規eSIM 超高速 データ無制限 eSIM 無制限 QRコードで 台湾 esim esim 香港 マカオ esim""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""seller"": [""正規eSIM 即時対応 100万枚突破 ...""], ""seller_badge"": [""search_result: Good seller""]}"
qoo10_jp,tw,【eSIM データ無制限】台湾 eSIM 正規eSIM 超高速6-7日間 データ無制限 eSIM 6-7日間 無制限 QRコードで 台湾 esim 6日間 台湾 esim 7日間 台湾 esim,1830,3,Power seller,7,,,,7일,7일,7일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/ESIM-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e5%8f%b0%e6%b9%be-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f6-7%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-ESIM-6-7%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7/1176746054,,1176746054,正規eSIM 超高速 安心保証⚡,,"{""title"": [""【eSIM データ無制限】台湾 eSIM 正規eSIM 超高速6-7日間 データ無制限 eSIM 6-7日間 無制限 QRコードで 台湾 esim 6日間 台湾 esim 7日間 台湾 esim""], ""option_candidates"": [""台湾 5日（超高速無制限のトラフィック） - 数量 : 999997"", ""台湾 6日（超高速無制限のトラフィック）(+230円) - 数量 : 999977"", ""台湾 7日（超高速無制限のトラフィック）(+470円) - 数量 : 999985""], ""representative_option"": [""台湾 7日（超高速無制限のトラフィック）(+470円) - 数量 : 999985"", ""title_match_score=8""], ""price_jpy"": [""販売価格 1,360円 + option surcharge 470"", ""台湾 7日（超高速無制限のトラフィック）(+470円) - 数量 : 999985""], ""usage_validity"": [""台湾 7日（超高速無制限のトラフィック）(+470円) - 数量 : 999985""], ""activation_validity"": [""∙ 緊急利用，即時送信，30日有効期限 選択してください。 view Search Close Search 台湾 5日（超高速無制限のトラフィック） - 数量 : 999997 台湾 6日（超高速無制限のトラフィック）(+230円) - 数量 : 999977 台湾 7日（超高速無制限のトラフィック）(+470円) - 数量 : 999985""], ""data_amount"": [""台湾 7日（超高速無制限のトラフィック）(+470円) - 数量 : 999985""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""seller"": [""正規eSIM 超高速 安心保証⚡""], ""review_count"": [""search_result: 3""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,tw,【eSIM データ無制限】台湾 eSIM 正規eSIM 超高速6-7日間 データ無制限 eSIM 6-7日間 無制限 QRコードで 台湾 esim 6日間 台湾 esim 7日間 台湾 esim,1830,,General seller,8,,,,7일,7일,6일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/ESIM-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e5%8f%b0%e6%b9%be-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f6-7%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-ESIM-6-7%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7/1181566394,,1181566394,esim world,,"{""title"": [""【eSIM データ無制限】台湾 eSIM 正規eSIM 超高速6-7日間 データ無制限 eSIM 6-7日間 無制限 QRコードで 台湾 esim 6日間 台湾 esim 7日間 台湾 esim""], ""option_candidates"": [""台湾 5日（超高速無制限のトラフィック） - 数量 : 999999"", ""台湾 6日（超高速無制限のトラフィック）(+230円) - 数量 : 999999"", ""台湾 7日（超高速無制限のトラフィック）(+470円) - 数量 : 999999""], ""representative_option"": [""台湾 7日（超高速無制限のトラフィック）(+470円) - 数量 : 999999"", ""title_match_score=8""], ""price_jpy"": [""販売価格 1,360円 + option surcharge 470"", ""台湾 7日（超高速無制限のトラフィック）(+470円) - 数量 : 999999""], ""usage_validity"": [""台湾 7日（超高速無制限のトラフィック）(+470円) - 数量 : 999999""], ""activation_validity"": [""【eSIM データ無制限】台湾 eSIM 正規eSIM 超高速6-7日間 データ無制限 eSIM 6-7日間 無制限 QRコードで 台湾 esim 6日間 台湾 esim 7日間 台湾 esim""], ""data_amount"": [""台湾 7日（超高速無制限のトラフィック）(+470円) - 数量 : 999999""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""seller"": [""esim world""], ""seller_badge"": [""search_result: General seller""]}"
qoo10_jp,tw,【安心の日本企業】 台湾eSIM 3日間 無制限 低速なし 日本人によるLINEサポート 最短即日発行 有効期限90日 データ通信専用,740,242,Power seller,10,,,,3일,3일,90일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e5%ae%89%e5%bf%83%e3%81%ae%e6%97%a5%e6%9c%ac%e4%bc%81%e6%a5%ad-%e5%8f%b0%e6%b9%beESIM-3%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e4%bd%8e%e9%80%9f%e3%81%aa%e3%81%97-%e6%97%a5%e6%9c%ac%e4%ba%ba%e3%81%ab%e3%82%88%e3%82%8bLINE%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88-%e6%9c%80%e7%9f%ad%e5%8d%b3%e6%97%a5%e7%99%ba%e8%a1%8c-%e6%9c%89%e5%8a%b9%e6%9c%9f%e9%99%9090%e6%97%a5-%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%e5%b0%82%e7%94%a8/1092537642,,1092537642,いーしむさん,,"{""title"": [""【安心の日本企業】 台湾eSIM 3日間 無制限 低速なし 日本人によるLINEサポート 最短即日発行 有効期限90日 データ通信専用""], ""price_jpy"": [""販売価格 740円""], ""usage_validity"": [""【安心の日本企業】 台湾eSIM 3日間 無制限 低速なし 日本人によるLINEサポート 最短即日発行 有効期限90日 データ通信専用""], ""activation_validity"": [""【安心の日本企業】 台湾eSIM 3日間 無制限 低速なし 日本人によるLINEサポート 最短即日発行 有効期限90日 データ通信専用""], ""data_amount"": [""【安心の日本企業】 台湾eSIM 3日間 無制限 低速なし 日本人によるLINEサポート 最短即日発行 有効期限90日 データ通信専用""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""seller"": [""いーしむさん""], ""review_count"": [""search_result: 242""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,tw,【安心の日本企業】台湾eSIM 4日間 無制限 低速なし 日本人によるLINEサポート 最短即日発行 有効期限90日 データ通信専用,1080,121,Power seller,12,,,,4일,4일,90일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e5%ae%89%e5%bf%83%e3%81%ae%e6%97%a5%e6%9c%ac%e4%bc%81%e6%a5%ad-%e5%8f%b0%e6%b9%beESIM-4%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e4%bd%8e%e9%80%9f%e3%81%aa%e3%81%97-%e6%97%a5%e6%9c%ac%e4%ba%ba%e3%81%ab%e3%82%88%e3%82%8bLINE%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88-%e6%9c%80%e7%9f%ad%e5%8d%b3%e6%97%a5%e7%99%ba%e8%a1%8c-%e6%9c%89%e5%8a%b9%e6%9c%9f%e9%99%9090%e6%97%a5-%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%e5%b0%82%e7%94%a8/1092462238,,1092462238,いーしむさん,,"{""title"": [""【安心の日本企業】台湾eSIM 4日間 無制限 低速なし 日本人によるLINEサポート 最短即日発行 有効期限90日 データ通信専用""], ""price_jpy"": [""販売価格 1,080円""], ""usage_validity"": [""【安心の日本企業】台湾eSIM 4日間 無制限 低速なし 日本人によるLINEサポート 最短即日発行 有効期限90日 データ通信専用""], ""activation_validity"": [""【安心の日本企業】台湾eSIM 4日間 無制限 低速なし 日本人によるLINEサポート 最短即日発行 有効期限90日 データ通信専用""], ""data_amount"": [""【安心の日本企業】台湾eSIM 4日間 無制限 低速なし 日本人によるLINEサポート 最短即日発行 有効期限90日 データ通信専用""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""seller"": [""いーしむさん""], ""review_count"": [""search_result: 121""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,tw,【安心の日本企業】台湾eSIM 2日間 無制限 低速なし 日本人によるLINEサポート 最短即日発行 有効期限90日 データ通信専用,690,14,Power seller,13,,,,2일,2일,90일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e5%ae%89%e5%bf%83%e3%81%ae%e6%97%a5%e6%9c%ac%e4%bc%81%e6%a5%ad-%e5%8f%b0%e6%b9%beESIM-2%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e4%bd%8e%e9%80%9f%e3%81%aa%e3%81%97-%e6%97%a5%e6%9c%ac%e4%ba%ba%e3%81%ab%e3%82%88%e3%82%8bLINE%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88-%e6%9c%80%e7%9f%ad%e5%8d%b3%e6%97%a5%e7%99%ba%e8%a1%8c-%e6%9c%89%e5%8a%b9%e6%9c%9f%e9%99%9090%e6%97%a5-%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%e5%b0%82%e7%94%a8/1145492899,,1145492899,いーしむさん,,"{""title"": [""【安心の日本企業】台湾eSIM 2日間 無制限 低速なし 日本人によるLINEサポート 最短即日発行 有効期限90日 データ通信専用""], ""price_jpy"": [""販売価格 690円""], ""usage_validity"": [""【安心の日本企業】台湾eSIM 2日間 無制限 低速なし 日本人によるLINEサポート 最短即日発行 有効期限90日 データ通信専用""], ""activation_validity"": [""【安心の日本企業】台湾eSIM 2日間 無制限 低速なし 日本人によるLINEサポート 最短即日発行 有効期限90日 データ通信専用""], ""data_amount"": [""【安心の日本企業】台湾eSIM 2日間 無制限 低速なし 日本人によるLINEサポート 最短即日発行 有効期限90日 データ通信専用""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""seller"": [""いーしむさん""], ""review_count"": [""search_result: 14""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,tw,【台湾eSIM】簡単設定 超高速7日間-10日間データ無制限 最短1-2小时内発行パスポート番号不要／データ通信専用,3426,,General seller,15,,,,7일,7일,7일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/CHUNGHWA%e3%83%86%e3%83%ac%e3%82%b3%e3%83%a0-%e5%8f%b0%e6%b9%beESIM-%e7%b0%a1%e5%8d%98%e8%a8%ad%e5%ae%9a-%e8%b6%85%e9%ab%98%e9%80%9f7%e6%97%a5%e9%96%93-10%e6%97%a5%e9%96%93%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e6%9c%80%e7%9f%ad1-2%e5%b0%8f%e6%97%b6%e5%86%85%e7%99%ba%e8%a1%8c%e3%83%91%e3%82%b9%e3%83%9d%e3%83%bc%e3%83%88%e7%95%aa%e5%8f%b7%e4%b8%8d%e8%a6%81%ef%bc%8f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%e5%b0%82%e7%94%a8/1121693824,,1121693824,Travel,,"{""title"": [""【台湾eSIM】簡単設定 超高速7日間-10日間データ無制限 最短1-2小时内発行パスポート番号不要／データ通信専用""], ""option_candidates"": [""7日(超高速無限データ)"", ""10日(超高速無限データ)""], ""representative_option"": [""7日(超高速無限データ)"", ""title_match_score=8""], ""price_jpy"": [""販売価格 3,426円 + option surcharge 0"", ""7日(超高速無限データ)""], ""usage_validity"": [""7日(超高速無限データ)""], ""activation_validity"": [""【台湾eSIM】簡単設定 超高速7日間-10日間データ無制限 最短1-2小时内発行パスポート番号不要／データ通信専用""], ""data_amount"": [""7日(超高速無限データ)""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,807)""], ""seller"": [""Travel""], ""seller_badge"": [""search_result: General seller""]}"
