site,country,title,price_jpy,review_count,seller_badge,search_position,monthly_sold_count,is_bestseller,bestseller_rank,validity,usage_validity,activation_validity,network_type,carrier_support_kr,data_amount,product_url,asin,site_product_id,seller,brand,evidence
qoo10_jp,vn,【東南アジア 5ヵ国】 eSIM 7日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効,2240,8,Power seller,4,,,,3일,3일,7일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e6%9d%b1%e5%8d%97%e3%82%a2%e3%82%b8%e3%82%a2-5%e3%83%b5%e5%9b%bd-ESIM-7%e6%97%a5%e9%96%93%ef%bc%8f%e5%ae%8c%e5%85%a8%e7%84%a1%e5%88%b6%e9%99%90%ef%bc%88%e4%bd%8e%e9%80%9f%e5%8c%96%e7%84%a1%e3%81%97%ef%bc%89%ef%bc%8f%e3%82%bf%e3%82%a4%e3%83%bb%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0%e3%83%bb%e3%82%b7%e3%83%b3%e3%82%ac%e3%83%9d%e3%83%bc%e3%83%ab%e3%83%bb%e3%82%a4%e3%83%b3%e3%83%89%e3%83%8d%e3%82%b7%e3%82%a2%e3%83%bb%e3%83%9e%e3%83%ac%e3%83%bc%e3%82%b7%e3%82%a2%ef%bc%8f5G%e3%83%bb4G%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf/1126839497,,1126839497,スマートeSIM,,"{""title"": [""【東南アジア 5ヵ国】 eSIM 7日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""price_jpy"": [""販売価格 2,240円""], ""usage_validity"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""activation_validity"": [""【東南アジア 5ヵ国】 eSIM 7日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""data_amount"": [""【東南アジア 5ヵ国】 eSIM 7日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""seller"": [""スマートeSIM""], ""review_count"": [""search_result: 8""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,vn,【ベトナム eSIM】 正規eSIM 超高速3-5日間 データ通信専用 即発行即利用可能 ベトナムeSIM 3-5日間 QRコードで ベトナムesim,660,2,General seller,6,,,,5일,5일,3일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f3-5%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%e5%b0%82%e7%94%a8-%e5%8d%b3%e7%99%ba%e8%a1%8c%e5%8d%b3%e5%88%a9%e7%94%a8%e5%8f%af%e8%83%bd-%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0ESIM-3-5%e6%97%a5%e9%96%93-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7/1181575870,,1181575870,esim world,,"{""title"": [""【ベトナム eSIM】 正規eSIM 超高速3-5日間 データ通信専用 即発行即利用可能 ベトナムeSIM 3-5日間 QRコードで ベトナムesim""], ""option_candidates"": [""ベトナム 2日（超高速無限データ）"", ""ベトナム 3日（超高速無限データ）"", ""ベトナム 4日（超高速無限データ）""], ""representative_option"": [""ベトナム 5日（超高速無限データ）"", ""title_match_score=6""], ""price_jpy"": [""販売価格 660円 + option surcharge 0"", ""ベトナム 5日（超高速無限データ）""], ""usage_validity"": [""ベトナム 5日（超高速無限データ）""], ""activation_validity"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""data_amount"": [""ベトナム 5日（超高速無限データ）""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""seller"": [""esim world""], ""review_count"": [""search_result: 2""], ""seller_badge"": [""search_result: General seller""]}"
qoo10_jp,vn,【東南アジア 5ヵ国】 eSIM 4日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効,1540,1,Power seller,5,,,,3일,3일,4일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e6%9d%b1%e5%8d%97%e3%82%a2%e3%82%b8%e3%82%a2-5%e3%83%b5%e5%9b%bd-ESIM-4%e6%97%a5%e9%96%93%ef%bc%8f%e5%ae%8c%e5%85%a8%e7%84%a1%e5%88%b6%e9%99%90%ef%bc%88%e4%bd%8e%e9%80%9f%e5%8c%96%e7%84%a1%e3%81%97%ef%bc%89%ef%bc%8f%e3%82%bf%e3%82%a4%e3%83%bb%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0%e3%83%bb%e3%82%b7%e3%83%b3%e3%82%ac%e3%83%9d%e3%83%bc%e3%83%ab%e3%83%bb%e3%82%a4%e3%83%b3%e3%83%89%e3%83%8d%e3%82%b7%e3%82%a2%e3%83%bb%e3%83%9e%e3%83%ac%e3%83%bc%e3%82%b7%e3%82%a2%ef%bc%8f5G%e3%83%bb4G%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf/1175765587,,1175765587,スマートeSIM,,"{""title"": [""【東南アジア 5ヵ国】 eSIM 4日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""price_jpy"": [""販売価格 1,540円""], ""usage_validity"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""activation_validity"": [""【東南アジア 5ヵ国】 eSIM 4日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""data_amount"": [""【東南アジア 5ヵ国】 eSIM 4日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""seller"": [""スマートeSIM""], ""review_count"": [""search_result: 1""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,vn,【東南アジア 5ヵ国】 eSIM 5日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効,1780,41,Power seller,8,,,,3일,3일,5일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e6%9d%b1%e5%8d%97%e3%82%a2%e3%82%b8%e3%82%a2-5%e3%83%b5%e5%9b%bd-ESIM-5%e6%97%a5%e9%96%93%ef%bc%8f%e5%ae%8c%e5%85%a8%e7%84%a1%e5%88%b6%e9%99%90%ef%bc%88%e4%bd%8e%e9%80%9f%e5%8c%96%e7%84%a1%e3%81%97%ef%bc%89%ef%bc%8f%e3%82%bf%e3%82%a4%e3%83%bb%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0%e3%83%bb%e3%82%b7%e3%83%b3%e3%82%ac%e3%83%9d%e3%83%bc%e3%83%ab%e3%83%bb%e3%82%a4%e3%83%b3%e3%83%89%e3%83%8d%e3%82%b7%e3%82%a2%e3%83%bb%e3%83%9e%e3%83%ac%e3%83%bc%e3%82%b7%e3%82%a2%ef%bc%8f5G%e3%83%bb4G%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf/1126839353,,1126839353,スマートeSIM,,"{""title"": [""【東南アジア 5ヵ国】 eSIM 5日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""price_jpy"": [""販売価格 1,780円""], ""usage_validity"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""activation_validity"": [""【東南アジア 5ヵ国】 eSIM 5日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""data_amount"": [""【東南アジア 5ヵ国】 eSIM 5日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""seller"": [""スマートeSIM""], ""review_count"": [""search_result: 41""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,vn,【東南アジア 5ヵ国】 eSIM 3日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効,1280,9,Power seller,9,,,,3일,3일,3일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e6%9d%b1%e5%8d%97%e3%82%a2%e3%82%b8%e3%82%a2-5%e3%83%b5%e5%9b%bd-ESIM-3%e6%97%a5%e9%96%93%ef%bc%8f%e5%ae%8c%e5%85%a8%e7%84%a1%e5%88%b6%e9%99%90%ef%bc%88%e4%bd%8e%e9%80%9f%e5%8c%96%e7%84%a1%e3%81%97%ef%bc%89%ef%bc%8f%e3%82%bf%e3%82%a4%e3%83%bb%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0%e3%83%bb%e3%82%b7%e3%83%b3%e3%82%ac%e3%83%9d%e3%83%bc%e3%83%ab%e3%83%bb%e3%82%a4%e3%83%b3%e3%83%89%e3%83%8d%e3%82%b7%e3%82%a2%e3%83%bb%e3%83%9e%e3%83%ac%e3%83%bc%e3%82%b7%e3%82%a2%ef%bc%8f5G%e3%83%bb4G%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf/1126838975,,1126838975,スマートeSIM,,"{""title"": [""【東南アジア 5ヵ国】 eSIM 3日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""price_jpy"": [""販売価格 1,280円""], ""usage_validity"": [""【東南アジア 5ヵ国】 eSIM 3日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""activation_validity"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""data_amount"": [""【東南アジア 5ヵ国】 eSIM 3日間／完全無制限（低速化無し）／タイ・ベトナム・シンガポール・インドネシア・マレーシア／5G・4G高速データ通信／パスポート登録不要／180日有効""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""seller"": [""スマートeSIM""], ""review_count"": [""search_result: 9""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,vn,【ベトナム eSIM データ無制限】ベトナム eSIM 正規eSIM 超高速 4日間 データ無制限 eSIM 4日間 無制限 QRコードで ベトナム esim 4日間 esimベトナム,1390,,Power seller,10,,,,3일,3일,4일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0-ESIM-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f-4%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-ESIM-4%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90/1169401735,,1169401735,正規eSIM 即時対応 60万枚突破 �...,,"{""title"": [""【ベトナム eSIM データ無制限】ベトナム eSIM 正規eSIM 超高速 4日間 データ無制限 eSIM 4日間 無制限 QRコードで ベトナム esim 4日間 esimベトナム""], ""price_jpy"": [""販売価格 1,390円""], ""usage_validity"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""activation_validity"": [""【ベトナム eSIM データ無制限】ベトナム eSIM 正規eSIM 超高速 4日間 データ無制限 eSIM 4日間 無制限 QRコードで ベトナム esim 4日間 esimベトナム""], ""data_amount"": [""【ベトナム eSIM データ無制限】ベトナム eSIM 正規eSIM 超高速 4日間 データ無制限 eSIM 4日間 無制限 QRコードで ベトナム esim 4日間 esimベトナム""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""seller"": [""正規eSIM 即時対応 60万枚突破 �...""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,vn,ベトナム用データSIMカード 30日間 1日3GB高速＋低速無制限,3752,0,General seller,22,,,,3일,3일,30일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",3GB/day,https://www.qoo10.jp/item/%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0%e7%94%a8%e3%83%87%e3%83%bc%e3%82%bfSIM%e3%82%ab%e3%83%bc%e3%83%89-30%e6%97%a5%e9%96%93-1%e6%97%a53GB%e9%ab%98%e9%80%9f%ef%bc%8b%e4%bd%8e%e9%80%9f%e7%84%a1%e5%88%b6%e9%99%90/1190356800,,1190356800,ESIMTONG 公式ストア,,"{""title"": [""ベトナム用データSIMカード 30日間 1日3GB高速＋低速無制限""], ""price_jpy"": [""販売価格 3,752円""], ""usage_validity"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""activation_validity"": [""ベトナム用データSIMカード 30日間 1日3GB高速＋低速無制限""], ""data_amount"": [""ベトナム用データSIMカード 30日間 1日3GB高速＋低速無制限""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""seller"": [""ESIMTONG 公式ストア""], ""review_count"": [""detail_page: 0""], ""seller_badge"": [""search_result: General seller""]}"
qoo10_jp,vn,【ベトナム eSIM データ無制限】ベトナム eSIM 正規eSIM 超高速 3日間 データ無制限 eSIM 3日間 無制限 QRコードで ベトナム esim 3日間 esimベトナム,690,1,Good seller,23,,,,3일,3일,3일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0-ESIM-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f-3%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-ESIM-3%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90/1180559378,,1180559378,正規eSIM 即時対応 100万枚突破 ...,,"{""title"": [""【ベトナム eSIM データ無制限】ベトナム eSIM 正規eSIM 超高速 3日間 データ無制限 eSIM 3日間 無制限 QRコードで ベトナム esim 3日間 esimベトナム""], ""option_candidates"": [""ベトナム 3日（超高速無限データ）""], ""representative_option"": [""ベトナム 3日（超高速無限データ）"", ""title_match_score=8""], ""price_jpy"": [""販売価格 690円 + option surcharge 0"", ""ベトナム 3日（超高速無限データ）""], ""usage_validity"": [""ベトナム 3日（超高速無限データ）""], ""activation_validity"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""data_amount"": [""ベトナム 3日（超高速無限データ）""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""seller"": [""正規eSIM 即時対応 100万枚突破 ...""], ""review_count"": [""search_result: 1""], ""seller_badge"": [""search_result: Good seller""]}"
qoo10_jp,vn,【ベトナム eSIM】 正規eSIM 超高速3-5日間 データ通信専用 即発行即利用可能 ベトナムeSIM 3-5日間 QRコードで ベトナム esim,660,,Good seller,24,,,,5일,5일,3일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f3-5%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%e5%b0%82%e7%94%a8-%e5%8d%b3%e7%99%ba%e8%a1%8c%e5%8d%b3%e5%88%a9%e7%94%a8%e5%8f%af%e8%83%bd-%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0ESIM-3-5%e6%97%a5%e9%96%93-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7/1181039402,,1181039402,正規eSIM 即時対応 100万枚突破 ...,,"{""title"": [""【ベトナム eSIM】 正規eSIM 超高速3-5日間 データ通信専用 即発行即利用可能 ベトナムeSIM 3-5日間 QRコードで ベトナム esim""], ""option_candidates"": [""ベトナム 2日（超高速無限データ）"", ""ベトナム 3日（超高速無限データ）"", ""ベトナム 4日（超高速無限データ）""], ""representative_option"": [""ベトナム 5日（超高速無限データ）"", ""title_match_score=6""], ""price_jpy"": [""販売価格 660円 + option surcharge 0"", ""ベトナム 5日（超高速無限データ）""], ""usage_validity"": [""ベトナム 5日（超高速無限データ）""], ""activation_validity"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""data_amount"": [""ベトナム 5日（超高速無限データ）""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""seller"": [""正規eSIM 即時対応 100万枚突破 ...""], ""seller_badge"": [""search_result: Good seller""]}"
qoo10_jp,vn,ベトナム用データSIMカード 30日間 1日2GB高速＋低速無制限,3653,0,General seller,25,,,,3일,3일,30일,local,"{""skt"": true, ""kt"": null, ""lgu"": null}",2GB/day,https://www.qoo10.jp/item/%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0%e7%94%a8%e3%83%87%e3%83%bc%e3%82%bfSIM%e3%82%ab%e3%83%bc%e3%83%89-30%e6%97%a5%e9%96%93-1%e6%97%a52GB%e9%ab%98%e9%80%9f%ef%bc%8b%e4%bd%8e%e9%80%9f%e7%84%a1%e5%88%b6%e9%99%90/1190356675,,1190356675,ESIMTONG 公式ストア,,"{""title"": [""ベトナム用データSIMカード 30日間 1日2GB高速＋低速無制限""], ""price_jpy"": [""販売価格 3,653円""], ""usage_validity"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""activation_validity"": [""ベトナム用データSIMカード 30日間 1日2GB高速＋低速無制限""], ""data_amount"": [""ベトナム用データSIMカード 30日間 1日2GB高速＋低速無制限""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""carrier_support_kr"": [""【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,806)""], ""seller"": [""ESIMTONG 公式ストア""], ""review_count"": [""detail_page: 0""], ""seller_badge"": [""search_result: General seller""]}"
